hour,sentiment,count
0,Positive,1
2,Negative,1
3,Negative,1
3,Positive,2
5,Positive,1
6,Positive,4
7,Neutral,1
7,Positive,6
8,Negative,3
8,Neutral,6
8,Positive,14
9,Negative,9
9,Neutral,1
9,Positive,18
10,Negative,5
10,Neutral,4
10,Positive,21
11,Negative,13
11,Neutral,2
11,Positive,22
12,Negative,12
12,Neutral,5
12,Positive,21
13,Negative,7
13,Neutral,7
13,Positive,16
14,Negative,26
14,Neutral,9
14,Positive,59
15,Negative,14
15,Neutral,6
15,Positive,27
16,Negative,16
16,Neutral,5
16,Positive,48
17,Negative,16
17,Neutral,5
17,Positive,27
18,Negative,16
18,Neutral,6
18,Positive,43
19,Negative,16
19,Neutral,7
19,Positive,52
20,Negative,6
20,Neutral,4
20,Positive,40
21,Negative,12
21,Neutral,3
21,Positive,26
22,Negative,7
22,Neutral,7
22,Positive,19
23,Negative,2
23,Neutral,4
23,Positive,1
