date,sentiment,count
2010-05-15,Positive,1
2010-08-15,Positive,1
2010-11-12,Positive,1
2011-06-20,Positive,1
2011-07-22,Positive,1
2011-08-28,Positive,1
2011-09-22,Positive,1
2012-02-18,Positive,1
2012-03-10,Positive,1
2012-03-30,Positive,1
2012-11-25,Positive,1
2013-04-05,Positive,1
2013-04-20,Positive,1
2013-10-05,Positive,1
2013-12-05,Positive,1
2014-06-03,Neutral,1
2014-07-10,Neutral,1
2014-07-20,Positive,1
2014-09-14,Neutral,1
2015-06-28,Negative,2
2015-07-12,Positive,1
2015-07-18,Positive,1
2015-08-22,Positive,1
2015-09-01,Positive,2
2015-09-12,Positive,1
2015-09-28,Positive,1
2015-10-18,Negative,1
2015-11-08,Neutral,2
2015-11-10,Positive,2
2015-12-01,Positive,1
2015-12-15,Positive,1
2015-12-18,Positive,2
2015-12-22,Positive,1
2016-02-10,Positive,2
2016-02-23,Positive,1
2016-02-28,Positive,1
2016-03-08,Positive,2
2016-04-02,Positive,1
2016-04-10,Positive,1
2016-04-15,Positive,1
2016-05-15,Negative,2
2016-06-15,Neutral,1
2016-06-28,Negative,1
2016-07-01,Negative,1
2016-07-02,Neutral,1
2016-07-10,Negative,1
2016-07-30,Positive,1
2016-08-20,Negative,1
2016-08-22,Negative,1
2016-08-22,Positive,1
2016-09-10,Positive,1
2016-09-14,Positive,1
2016-09-18,Positive,1
2016-09-22,Positive,1
2016-09-28,Negative,1
2016-10-18,Negative,1
2016-11-14,Positive,1
2016-11-15,Positive,2
2016-11-22,Negative,1
2016-11-22,Positive,1
2016-11-28,Positive,2
2016-12-05,Neutral,1
2016-12-10,Positive,1
2016-12-12,Positive,1
2016-12-22,Negative,1
2016-12-25,Positive,1
2017-01-12,Negative,1
2017-01-28,Positive,1
2017-01-30,Negative,1
2017-03-12,Negative,1
2017-03-20,Negative,1
2017-03-28,Negative,1
2017-03-28,Positive,1
2017-04-10,Negative,1
2017-04-10,Positive,1
2017-04-15,Positive,1
2017-04-28,Negative,1
2017-04-30,Positive,1
2017-05-15,Negative,1
2017-05-18,Positive,1
2017-06-10,Positive,1
2017-06-12,Positive,1
2017-06-18,Positive,1
2017-07-18,Negative,1
2017-07-20,Negative,1
2017-08-10,Negative,1
2017-08-18,Positive,2
2017-08-22,Positive,1
2017-08-25,Negative,1
2017-08-28,Negative,1
2017-09-10,Negative,1
2017-09-10,Positive,2
2017-09-18,Positive,1
2017-09-25,Positive,1
2017-10-20,Neutral,2
2017-10-30,Positive,1
2017-11-01,Positive,1
2017-11-05,Positive,2
2017-11-08,Positive,1
2017-11-15,Positive,1
2017-12-01,Negative,1
2017-12-08,Positive,1
2017-12-22,Positive,1
2017-12-28,Positive,2
2018-02-05,Positive,1
2018-02-10,Positive,1
2018-03-10,Positive,1
2018-03-15,Positive,1
2018-03-17,Negative,1
2018-04-03,Positive,1
2018-04-12,Positive,1
